,ID,Created_at,Location,text,label
7,16,5/20/2011 0:19,42.23453 93.56023,this case of the chills is making me crazy hope i get well soon,1
33,69,5/18/2011 10:21,42.21909 93.35761,this headache is killing me and well my day is totally ruined,1
104,381,5/19/2011 23:25,42.1726 93.32367,need to go to the doctor's office tomorrow I have come down with a a headache,1
106,383,5/18/2011 4:19,42.26046 93.49941,My best wishes going out. Samuel has a headache,1
147,504,5/19/2011 4:21,42.21388 93.27015,Nick has come down with a some fatigue My best wishes going out,1
264,770,5/18/2011 12:24,42.24454 93.29491,this headache makes me wish I wasn't here right now and gonna be a rough day,1
286,822,5/18/2011 19:45,42.2193 93.34953,this headache is causing me to lose my mind and just want to sleep all night,1
402,1104,5/18/2011 23:50,42.23894 93.49142,hope they get well soon. Dylan has caught a cold,1
567,1535,5/19/2011 18:39,42.20621 93.25537,need to go to the doctor's office tomorrow this case of the chills getting really annoying,1
575,1546,5/19/2011 2:21,42.22499 93.3333,this fatigue had me down for the count and I hope this doesn't turn into something worse...,1
629,1709,5/18/2011 11:17,42.22124 93.40164,too tired to even move this headache has me wishing I was somewhere else,1
661,1771,5/20/2011 12:56,42.21712 93.35842,I think they are laying down. Lauren has come down with a pneumonia,1
763,2169,5/18/2011 20:21,42.24136 93.51004,I have caught a headache can't stand this feeling tonight,1
1206,3320,5/18/2011 18:25,42.27049 93.20784,this shortness of breath is killing me and wish i was feeling better today,1
1234,3367,5/19/2011 8:05,42.22538 93.41473,this a dry cough getting really annoying and a new day a new sickness,1
1396,3784,5/19/2011 14:55,42.22016 93.32377,later everyone this problems breathing right now has me wishing I was somewhere else,1
1558,4250,5/20/2011 14:55,42.22508 93.31169,hopefully they get plenty of rest. Johan has come down with a case of the chills,1
2099,5871,5/20/2011 10:21,42.16453 93.55089,hurts to move this diarrhea causing me to lose my mind,1
2190,6096,5/19/2011 16:55,42.21487 93.47038,can't stand this this heartburn is killing me,1
2327,6544,5/20/2011 3:27,42.22335 93.25884,this a dry cough is killing me and wonder if I'll be able to fall asleep...,1
2483,6992,5/18/2011 21:40,42.16847 93.33466,these chills is ruining my social life I hate this,1
2518,7119,5/20/2011 23:41,42.19737 93.38039,I hate this. Ryan has caught a case of the chills,1
2602,7316,5/20/2011 2:39,42.20562 93.35283,is at the gym...so ignore the heavy breathing  squeaks  and groans.,0
2672,7601,5/20/2011 8:10,42.21535 93.33885,I think they are laying down. Declan has come down with a the flu,1
